drug_name	drug_type	CID/CIDs	Source	therapy_type	action	action_class	approval_status	drugbank_id	synonyms
tyrosine kinase inhibitor	small molecule	24956525	TCGA|GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	investigational		
selumetinib	small molecule	10127622	TCGA|GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor,A MEK inhibitor	kinase inhibitor	approved	DB11689	Selumetinib|Sélumétinib|Selumetinibum|ARRY 142886|ARRY-142886|ARRY142886|AZD 6244|AZD-6244|AZD6244
erlotinib	small molecule	176870	TCGA|GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor,EGFR tyrosine kinase inhibitor	kinase inhibitor	approved	DB00530	erlotinib hydrochloride|cp-358,774|ro-508231|r-1415|rg-1415|cp-35877401|cp-358774|osi-774|tarceva
tarceva	small molecule	176871	TCGA|GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor,EGFR tyrosine kinase inhibitor	kinase inhibitor	approved	DB00530	erlotinib hydrochloride|cp-358,774|ro-508231|r-1415|rg-1415|cp-35877401|cp-358774|osi-774
lapatinib	small molecule	208908	TCGA|GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor,EGFR/HER2 inhibitor,potent,selective and reversible	kinase inhibitor		DB01259	
trametinib	small molecule	11707110	TCGA|GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor,MEK1 and MEK2 inhibitor, potent and selective	kinase inhibitor	approved	DB08911	
imatinib	small molecule	5291	TCGA|GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor,Protein-tyrosine kinase inhibitor	kinase inhibitor	approved	DB00619	imatinib mesylate
sunitinib	small molecule	5329102	TCGA|GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor,RTK inhibitor	kinase inhibitor	approved	DB01268	sunitinib malate|sutent
gefitinib	small molecule	123631	TCGA|GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor,Selective EGFR inhibitor	kinase inhibitor	approved	DB00317	
dasatinib	small molecule	3062316	TCGA|GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor,Src and BCR-Abl inhibitor	kinase inhibitor	approved	DB01254	
axitinib	small molecule	6450551	TCGA|GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor,VEGFR1/ c-Kit inhibitor	kinase inhibitor	approved	DB06626	inlyta|nsc-757441|ag-13736|ag-013736
cabozantinib	small molecule	25102847	TCGA|GDSC|CTRPV2	Targeted Therapy	tyrosine kinase inhibitor,VEGFR2/Met/Ret/Kit/FLT//AXL inhibitor	kinase inhibitor	approved	DB08875	
abemaciclib	small molecule	46220502		Targeted Therapy	kinase inhibitor	kinase inhibitor	approved	DB12001	
acalabrutinib	small molecule	71226662		Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved	DB11703	
binimetinib	small molecule	10288191		Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved	DB11967	Binimetinib|ARRY-162|ARRY-438162|MEK-162|MEK162|NVP-MEK162
capmatinib	small molecule	25145656		Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved	DB11791	tabrecta
capmatinib hydrochloride	small molecule	122201352		Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved		
ceritinib	small molecule	57379345		Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved	DB09063	Céritinib|Ceritinib|Ceritinibum|LDK 378|LDK-378|LDK378|NVP-LDK378-NX
cobimetinib fumarate	small molecule	71491931		Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved	DB05239	Cobimetinib|GDC 0973|GDC-0973|GDC0973|RG 7420|RG-7420|RG7420|RO5514041|XL 518|XL-518|XL51
fedratinib hydrochloride	small molecule	67517580		Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved	DB12500	Fedratinib|SAR 302503|SAR-302503|SAR302503|TG-101348|TG101348
gilteritinib fumarate	small molecule	76970819		Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved		
infigratinib	small molecule	53235510		Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved	DB11886	truseltiq
infigratinib phosphate	small molecule	56669626		Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved	DB11886	Infigratinib|BGJ 398|BGJ-398|BGJ398|NVP-BGJ398|WHO 10032
larotrectinib sulfate	small molecule	67330085		Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved		
mobocertinib	small molecule	118607832		Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved	DB16390	exkivity
neratinib maleate	small molecule	67307512		Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved		
osimertinib mesylate	small molecule	78357807		Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved		
pacritinib citrate	small molecule	46216795		Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor			
pralsetinib	small molecule	129073603		Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved	DB15822	Pralsetinib|BLU 667|BLU-123244|BLU-667|BLU123244|WHO 11004|X-581238|X581238
tepotinib	small molecule	25171648		Targeted Therapy	tyrosine kinase inhibitor	kinase inhibitor	approved	DB15133	tepmetko|tepotinib hydrochloride
brigatinib	small molecule	68165256		Targeted Therapy	tyrosine kinase inhibitor,A highly potent and selective ALK inhibitor	kinase inhibitor	approved	DB12267	Brigatinib|AP-26113|AP26113
erdafitinib	small molecule	67462786		Targeted Therapy	tyrosine kinase inhibitor,A pan-FGFR tyrosine kinase inhibitor	kinase inhibitor	approved	DB12147	Erdafitinib|JNJ-42756493
zanubrutinib	small molecule	135565884		Targeted Therapy	tyrosine kinase inhibitor,A potent and covalent BTK inhibitor	kinase inhibitor	approved	DB15035	brukinsa
selpercatinib	small molecule	134436906		Targeted Therapy	tyrosine kinase inhibitor,A RET kinase inhibitor	kinase inhibitor	approved	DB15685	retevmo
trametinib dimethyl sulfoxide	small molecule	50992434		Targeted Therapy	tyrosine kinase inhibitor,Allosteric MEK1/MEK2 kinase inhibitor	kinase inhibitor	approved	DB08911	
pemigatinib	small molecule	86705695		Targeted Therapy	tyrosine kinase inhibitor,An FGFR inhibitor	kinase inhibitor	approved	DB15102	INCB054828|Pemigatinib
ponatinib hydrochloride	small molecule	46908927		Targeted Therapy	tyrosine kinase inhibitor,An inhibitor of native and mutant Bcr-Abl	kinase inhibitor	approved	DB08901	
lenvatinib mesylate	small molecule	11237762		Targeted Therapy	tyrosine kinase inhibitor,An inhibitor of VEGFR2 and VEGFR3	kinase inhibitor	approved		
pexidartinib	small molecule	25151352		Targeted Therapy	tyrosine kinase inhibitor,an orally inhibitor with potent selective activity against the CSF1 receptor (IC50=20nM), KIT (IC50 =10nM) and FMS-like tyrosine kinase 3.	kinase inhibitor	approved	DB12978	turalio|plx3397
lapatinib ditosylate	small molecule	9941095		Targeted Therapy	tyrosine kinase inhibitor,EGFR/HER2 inhibitor, potent and selective	kinase inhibitor	approved	DB01259	
pacritinib	small molecule	46216796		Targeted Therapy	tyrosine kinase inhibitor,FMS-like tyrosine kinase 3 (FLT3) and Janus kinase 2 (JAK2) are tyrosine kinases that mediate cytokine signaling and are frequently mutated in cancers, particularly acute myeloid leukemia.	kinase inhibitor	approved	DB11697	vonjo
ruxolitinib phosphate	small molecule	25127112		Targeted Therapy	tyrosine kinase inhibitor,JAK1/JAK2 inhibitor	kinase inhibitor	approved	DB08877	
lorlatinib	small molecule	71731823		Targeted Therapy	tyrosine kinase inhibitor,MEK 1/ MEK 2 inhibitor	kinase inhibitor	approved	DB12130	Lorlatinib|PF 06463922|PF-06463922
cabozantinib-s-malate	small molecule	25102846		Targeted Therapy	tyrosine kinase inhibitor,MET andVEGF receptor2 inhibitor	kinase inhibitor	approved		
mobocertinib succinate	small molecule	146026179		Targeted Therapy	tyrosine kinase inhibitor,orally active and irreversible EGFR/HER2 inhibitor. Mobocertinib succinate potently inhibits oncogenic variants containing activating EGFRex20ins mutations with selectivity over wild-type EGFR. Mobocertinib succinate can be used in NSCLC research.	kinase inhibitor	approved		
entrectinib	small molecule	25141092		Targeted Therapy	tyrosine kinase inhibitor,Orally active inhibitor of ALK kinase	kinase inhibitor	approved		
ripretinib	small molecule	71584930		Targeted Therapy	tyrosine kinase inhibitor,orally bioavailable, selective KIT and PDGFRA switch-control inhibitor. Ripretinib (DCC-2618) targets and binds to both wild-type and mutant forms of KIT and PDGFRA specifically at their switch pocket binding sites, thereby preventing the switch from inactive to active conformations of these kinases and inactivating their wild-type and mutant forms. Ripretinib (DCC-2618) also inhibits multiple other kinase targets, such as FLT3 and KDR (or VEGFR-2). DCC-2618 exerts antineoplastic effect and induces apoptosis.	kinase inhibitor	approved	DB14840	qinlock
avapritinib	small molecule	118023034		Targeted Therapy	tyrosine kinase inhibitor,potent and selective exon 17 mutant KIT kinase inhibitor with IC50 of 0.27 nM for KIT D816V.	kinase inhibitor	approved	DB15233	
gilteritinib	small molecule	49803313		Targeted Therapy	tyrosine kinase inhibitor,relapsed and /or refractory AML (R/R AML).	kinase inhibitor	approved	DB12141	xospata
cobimetinib	small molecule	16222096		Targeted Therapy	tyrosine kinase inhibitor,Selective MEK inhibitor	kinase inhibitor	approved	DB05239	GDC 0973|GDC-0973|GDC0973|RG 7420|RG-7420|RG7420|RO5514041|XL 518|XL-518|XL518|PHARMACOLOGY|
parbendazole	small molecule	26596	CTRPV2	Targeted Therapy	a potent inhibitor of microtubule assembly	microtubule related			
epothilone b	small molecule	448013	GDSC	Targeted Therapy	Microtubule stabilizing macrolide	microtubule related	experimental	DB03010	Epo B|Epothilone B|patupilona|Patupilone|EPO 906|EPO 906A|EPO-906|EPO-906A
ixabepilone	small molecule	6445540	TCGA	Chemotherapy	Epothilone B analog;microtubule-stabilizing agent	microtubule related	approved	DB04845	bms-247550-01|ixempra|nsc-747973|azaepothilone b|bms 247550-01|bms-247550
cabazitaxel	small molecule	9854073	TCGA	Chemotherapy	Microtubule associated inhibitor	microtubule related	approved	DB06772	jevtana
vincristine	small molecule	5978	TCGA|GDSC|CTRPV2	Chemotherapy	Microtubule disrupter,antitumor agent	microtubule related	approved	DB00541	vincristine sulfate|marqibo|vincasar
paclitaxel	small molecule	36314	TCGA	Chemotherapy	tricyclic diterpenoid compound	Mitotic inhibitor	approved	DB01229	abraxane|taxol|nab-paclitaxel
ku-0063794	small molecule	16736978	CTRPV2	Targeted Therapy	MTORC1 and mTORC2 inhibitor	mtor related			
torin2	small molecule	51358113	GDSC	Targeted Therapy	a potent, selective and orally available inhibitor of mTOR	mtor related			torin 2
ru-ski 43	small molecule	46006640	GDSC	Targeted Therapy	RU-SKI 43 is a potent and selective Hedgehog acyltransferase (Hhat) inhibitor. RU-SKI 43 reduces Gli-1 activation through Smoothened-independent non-canonical signaling and decreases Akt and mTOR pathway activity	mtor related			
azd8055	small molecule	25262965	GDSC|CTRPV2	Targeted Therapy	MTOR inhibitor	mtor related	investigational	DB12774	AZD 8055|AZD8055
osi-027	small molecule	135398516	GDSC|CTRPV2	Targeted Therapy	MTORC1/ mTORC2 inhibitor	mtor related	investigational	DB12387	
temsirolimus	small molecule	6918289	TCGA	Immunotherapy	A MTOR inhibitor	mtor related	approved	DB06287	torisel
ridaforolimus	small molecule	11520894	TCGA	Immunotherapy	MTOR inhibitor	mtor related	investigational	DB06233	ap-23573
hli 373	small molecule	135403620	CTRPV2	Targeted Therapy	an inhibitor of Hdm2 ubiquitin ligase (E3). Hdm2 ubiquitin ligase(E3) is a major regulator of p53 by promoting its ubiquitylation and proteasomal degradation	p53 related			
pifithrin-mu	small molecule	327653	CTRPV2	Targeted Therapy	Inhibitor of p53 binding and anti-apoptotic	p53 related			
nutlin-3	small molecule	216345	CTRPV2	Targeted Therapy	MDM2 antagonist,inhibits MDM2-p53 interaction	p53 related	investigational	DB17039	2-piperazinone|4-(((4r,5s)-4,5-bis(4-chlorophenyl)-4|5-dihydro-2-(4-methoxy-2-(1-methylethoxy)phenyl)-1h-imidazol-1-yl)carbonyl)-|rel|NSC-732664
rita	small molecule	374536	CTRPV2	Targeted Therapy	Mdm2-p53 interaction and p53 ubiquitination blocking	p53 related			
pifithrin-alpha	small molecule	9929138	CTRPV2	Targeted Therapy	p53 inhibitor	p53 related			
sch-529074	small molecule	12001922	CTRPV2	Targeted Therapy	restores mutant p53 activity	p53 related			
nsc319726	small molecule	5351307	GDSC	Targeted Therapy	reactivator of mutant p53	p53 related			
tenovin-6	small molecule	24772043	GDSC	Targeted Therapy	SIRT inhibitor and p53 activator	p53 related			
serdemetan	small molecule	11609586	GDSC|CTRPV2	Targeted Therapy	P53 activator, blocking Mdm2-p53 interaction	p53 related	investigational	DB12027	Serdemetan|JNJ-26854165
prima-1met	small molecule	52918385	GDSC|CTRPV2	Targeted Therapy	restore mutant p53 activity, induce BAX and PUMA	p53 related			prima-1-met
mira-1	small molecule	227681	GDSC|CTRPV2	Targeted Therapy	Restorer of wild-type p53 conformation/cellular function	p53 related			nsc19630
xl765	small molecule	49867926	CTRPV2	Targeted Therapy	mTOR/PI3K inhibitor	pi3k inhibitor	investigational	DB05241	
tg-100-115	small molecule	10427712	CTRPV2	Targeted Therapy	PI3Kγ/PI3Kδ inhibitor	pi3k inhibitor	investigational	DB05552	
myricetin	small molecule	5281672	CTRPV2	Targeted Therapy	prevents cancer cell death via apoptosis via regulation of PI3K/Akt and MAPK signalling pathways[	pi3k inhibitor	experimental	DB02375	
pilaralisib	small molecule	56599306	GDSC	Targeted Therapy	A class I PI3K inhibitor	pi3k inhibitor	investigational	DB11772	Pilaralisib| SAR-245408|SAR245408|XL-147|XL147
gne-317	small molecule	70676303	GDSC	Targeted Therapy	brain-penetrant PI3K inhibitor	pi3k inhibitor			
azd8835	small molecule	76685059	GDSC	Targeted Therapy	PI3Kα and PI3Kδ inhibitor	pi3k inhibitor			
amg-319	small molecule	68947304	GDSC	Targeted Therapy	PI3Kδ inhibitor	pi3k inhibitor	investigational	DB16879	amg319
azd8186	small molecule	52913813	GDSC	Targeted Therapy	Potent and selective inhibitor of PI3Kβ and PI3Kδ	pi3k inhibitor	investigational	DB15029	AZD8186
voxtalisib	small molecule	16123056	GDSC	Targeted Therapy	protein inhibitor, A dual inhibitor of PI3K and mTORC	pi3k inhibitor			
czc24832	small molecule	42623951	GDSC	Targeted Therapy	Selective PI3K-γ inhibitor	pi3k inhibitor			
pi-103	small molecule	9884685	GDSC|CTRPV2	Targeted Therapy	Class I PI3K, mTOR and DNA-PK inhibitor	pi3k inhibitor	investigational	DB17046	Phenol, 3-(4-(4-morpholinyl)pyrido(3',2':4,5)furo(3,2-d)pyrimidin-2-yl)-|PI-103|PIK-103
azd6482	small molecule	44137675	GDSC|CTRPV2	Targeted Therapy	PI3Kβ inhibitor,potent and selective	pi3k inhibitor	investigational	DB14980	AZD6482
pik-93	small molecule	6852167	GDSC|CTRPV2	Targeted Therapy	PI3Kγ/PI4KIIIβ/PI3Kα inhibitor	pi3k inhibitor			
ic-87114	small molecule	9908783	GDSC|CTRPV2	Targeted Therapy	PI3Kδ inhibitor	pi3k inhibitor			
rigosertib	small molecule	6918736	TCGA|CTRPV2	Targeted Therapy	protein inhibitor,PI3K/PLK1 inhibitor	pi3k inhibitor	investigational	DB12146	Rigosertib|ON 01910|ON-01910
sb-525334	small molecule	9967941	CTRPV2	Targeted Therapy	(TGF-beta1) receptor inhibitor	receptor related			
gw-405833	small molecule	9911463	CTRPV2	Targeted Therapy	a partial agonist of the cannabinoid CB2 receptor	receptor related			
trifluoperazine	small molecule	5566	CTRPV2	Targeted Therapy	antipsychotic agent, acts by blocking central dopamine receptors	receptor related	approved	DB00831	
prochlorperazine	small molecule	4917	CTRPV2	Targeted Therapy	Dopamine (D2) receptor antagonist	receptor related	approved	DB00433	compazine|compro
fgin-1-27	small molecule	132496	CTRPV2	Targeted Therapy	high affinity agonist of the translocator protein (TSPO,peripheral benzodiazepine receptor)	receptor related			
cimetidine	small molecule	2756	CTRPV2	Targeted Therapy	histamine 2 receptor blocker	receptor related	approved	DB00501	tagamet
hyperforin	small molecule	441298	CTRPV2	Targeted Therapy	Hyperforin is a natural activator of the steroid X receptor and inhibitor of several cytochrome P450 (CYP) isoforms	receptor related	approved	DB01892	
importazole	small molecule	2949965	CTRPV2	Targeted Therapy	inhibitor of the nuclear transport receptor importin-β.	receptor related			
sb-431542	small molecule	4521392	CTRPV2	Targeted Therapy	inhibitor of the type I TGF-β receptor	receptor related			
cd-1530	small molecule	9952709	CTRPV2	Targeted Therapy	RAR receptor agonist	receptor related			
fingolimod	small molecule	107970	CTRPV2	Immunotherapy	S1P receptors agonist	receptor related	approved	DB08868	
sch-79797	small molecule	4259181	CTRPV2	Targeted Therapy	SCH79797 is a highly potent, selective nonpeptide protease activated receptor 1 (PAR1) antagonist.	receptor related			
istradefylline	small molecule	5311037	CTRPV2	Targeted Therapy	Selective A2A receptor antagonist	receptor related	approved	DB11757	Istradefylline|Kw 6002|KW-6002
azd3514	small molecule	46893585	GDSC	Targeted Therapy	Androgen receptor downregulator	receptor related			
zibotentan	small molecule	9910224	GDSC	Targeted Therapy	ETA receptor antagonist	receptor related			
t0901317	small molecule	447912	GDSC	Targeted Therapy	Liver X receptor agonist,potent and selective	receptor related			
fty-720	small molecule	107969	GDSC	Targeted Therapy	S1P receptors agonist	receptor related			
tt-232	small molecule	6918265	GDSC	Targeted Therapy	sst1/sst4 somatostatin receptors agonist	receptor related	investigational	DB12088	tln-232
bexarotene	small molecule	82146	GDSC|CTRPV2	Targeted Therapy	Retinoid Receptor agonist	receptor related	approved	DB00307	targretin
degarelix	small molecule	16136245	TCGA	Hormone Therapy	competitive and reversible gonadotropin-releasing hormone receptor (GnRHR/LHRHR) antagonist.	receptor related	approved	DB06699	fe200486 (as acetate salt)
erythropoietin	biotech	11751549	TCGA	Targeted Therapy	Peptide mimetic of erythropoietin (EPO). EMP-20 has been described to be an excellent starting point for the design of compounds with erythropoietin (EPO) mimetic activity and can serve as a minimal model for an EPO receptor antagonist.	receptor related	approved	DB00016	
leuprolide acetate	small molecule	657180	TCGA	Hormone Therapy	Pituitary GnRH receptors agonist	receptor related	approved		lupron
ondansetron	small molecule	4595	TCGA	Targeted Therapy	serotonin 5-HT3 receptor antagonist	receptor related	approved	DB00904	zofran|zuplenz
bicalutamide	small molecule	2375	TCGA|GDSC	Hormone Therapy	Androgen receptor antagonist	receptor related	approved	DB01128	nsc-759816|casodex|ici-176334|ici176,334-1|ici 176,334
fulvestrant	small molecule	104741	TCGA|GDSC|CTRPV2	Hormone Therapy	Estrogen receptor antagonist,high affinity	receptor related	approved	DB00947	faslodex
cediranib	small molecule	9933475	TCGA|GDSC|CTRPV2	Targeted Therapy	protein inhibitor,VEGFR inhibitor receptor,highly potent	receptor related	investigational	DB04849	AZD-2171|AZD2171
tretinoin	small molecule	444795	TCGA|GDSC|CTRPV2	Targeted Therapy	vitamin A-derived, non-peptidic, small lipophilic molecule that acts as ligand for nuclear RA receptors (RARs), converting them from transcriptional repressors to activators.	receptor related	approved	DB00755	cis-retinoic acid
ki8751	small molecule	11317348	CTRPV2	Targeted Therapy	VEGFR-2 inhibitor,potent and selective	VEGF related			
linifanib	small molecule	11485656	GDSC|CTRPV2	Targeted Therapy	protein inhibitor,VEGFR/PDGFR inhibitor	VEGF related	investigational	DB06080	ABT-869|Linifanib|A-741439|RG-3635
nintedanib	small molecule	135423438	GDSC|CTRPV2	Targeted Therapy	protein inhibitor,VEGFR/PDGFR/FGFR inhibitor	VEGF related	approved	DB09079	BIBF 1120|BIBF-1120BIBF1120
regorafenib	small molecule	11167602	TCGA	Targeted Therapy	protein inhibitor,Inhibitor of VEGFR/PDGFR/FGFR/mutant kit/RET/Raf-1	VEGF related	approved	DB08896	
vandetanib	small molecule	3081361	TCGA|CTRPV2	Targeted Therapy	protein inhibitor,VEGFR2/EGFR antagonist	VEGF related	approved	DB05294	zactima
tivozanib	small molecule	9911830	TCGA|GDSC|CTRPV2	Targeted Therapy	protein inhibitor,VEGFR inhibitor,potent and selective	VEGF related	approved	DB11800	tivozanib hydrochloride|fotivda
pazopanib	small molecule	10113978	TCGA|GDSC|CTRPV2	Targeted Therapy	protein inhibitor,VEGFR/PDGFR/FGFR inhibitor	VEGF related	approved	DB06589	pazopanib hydrochloride
etomoxir	small molecule	9840324	CTRPV2	Targeted Therapy	(CPT)-1 and DGAT activity inhibitor				
erastin	small molecule	11214940	CTRPV2	Targeted Therapy	a cell-permeable ferroptosis activatior and antitumor agent				
phloretin	small molecule	4788	CTRPV2	Targeted Therapy	A dihydrochalcone found in apple		experimental	DB07810	2',4,4',6'-Tetrahydroxy-Dihydrochalcone|2',4,4',6'-Tetrahydroxydihydrochalcone|Dihydronaringenin|Phloretol|FEMA NO. 4390
ml210	small molecule	49766530	CTRPV2	Targeted Therapy	A GPX4 inhibitor				
methylstat	small molecule	53392493	CTRPV2	Targeted Therapy	a methyl ester prodrug of a Jumonji C domain-containing histone demethylase (JMJD) inhibitor 				
gsk2636771	small molecule	56949517	CTRPV2	Targeted Therapy	a p110β isoform-specific inhibitor of PIK3 		investigational		GSK2636771
sildenafil	small molecule	135398744	CTRPV2	Targeted Therapy	a phosphodiesterase-5 (PDE-5) inhibitors		approved	DB00203	fevatio|viagra|vizarsin
mk-0752	small molecule	9803433	CTRPV2	Targeted Therapy	a potent gamma secretase inhibito		investigational	DB12852	MK-0752
sitagliptin	small molecule	4369359	CTRPV2	Targeted Therapy	a potent inhibitor of DPP4 		approved	DB01261	
fumonisin b1	small molecule	2733487	CTRPV2	Targeted Therapy	A PP5/PP2Cα/PP2A/PP1γ2/PP2B inhibitor				
prl-3 inhibitor i	small molecule	73707371	CTRPV2	Targeted Therapy	A PRL-3 inhibitor				
bms-270394	small molecule	445455	CTRPV2	Targeted Therapy	A RARγ agonist		experimental	DB07031	BMS 270394|BMS 961|BMS-270394|BMS270394
pf-750	small molecule	25154868	CTRPV2	Targeted Therapy	a selective and covalent fatty acid amide hydrolase (FAAH) inhibitor,				
o-6-benzylguanine	small molecule	4578	CTRPV2	Targeted Therapy	a suicide inhibitor of the enzyme O6-alkylguanine-DNA alkyltransferase which leads to interruption of DNA repair		investigational	DB11919	o(6)-benzylguanine|o6-benzylguanine
px-12	small molecule	219104	CTRPV2	Targeted Therapy	A Trx-1 inhibitor		investigational	DB05448	px 12|px-12
curcumin	small molecule	969516	CTRPV2	Targeted Therapy	A tyrosinase inhibitor		approved	DB11672	
purmorphamine	small molecule	5284329	CTRPV2	Targeted Therapy	activates the Hedgehog (Hh) signaling pathway				
ci-976	small molecule	122327	CTRPV2	Targeted Therapy	acyl-coenzyme A:cholesterol acyltransferase (ACAT) inhibitor				
ml031	small molecule	2113511	CTRPV2	Targeted Therapy	agonist of S1P2				
stemregenin 1	small molecule	46199207	CTRPV2	Targeted Therapy	AhR antagonist				
pd318088	small molecule	10231331	CTRPV2	Targeted Therapy	Allosteric MEK1/2 inhibitor, non-ATP competitive				
tosedostat	small molecule	15547703	CTRPV2	Targeted Therapy	Aminopeptidase inhibitor		investigational	DB11781	
cil56	small molecule	654092	CTRPV2	Targeted Therapy	An inducer of non-apoptotic cell death; YAP1 (YES related protein 1) targeted inhibitor				
cytochalasin b	small molecule	5311281	CTRPV2	Targeted Therapy	An inhibitor of actin polymerization		experimental	DB16766	Cytochalasin-B|Phomin
pyrazolanthrone	small molecule	8515	CTRPV2	Targeted Therapy	an inhibitor of c-Jun N-terminal kinases (JNKs)		experimental	DB01782	1,9-Pyrazoloanthrone|Anthra(1,9-cd)pyrazol-6(2H)-one|Pyrazoleanthrone|C.I. 70300|CI 70300|NSC-75890|SP-600125|SP600125|
fqi-1	small molecule	656346	CTRPV2	Targeted Therapy	An inhibitor of Late SV40 Factor				
incyclinide	small molecule	54678924	CTRPV2	Targeted Therapy	An inhibitor of MMP-13, MMP-1, and MMP-8		investigational	DB11647	Incyclinide|CMT 3|CMT-3|COL 3|COL-3
salermide	small molecule	135659046	CTRPV2	Targeted Therapy	an inhibitor of Sirt1 and Sirt2; can cause strong cancer-specific apoptotic cell death				
ml334 diastereomer	small molecule	56840728	CTRPV2	Targeted Therapy	An inhibitor of the Nrf2-Keap1 protein-protein interaction				
ml311	small molecule	3384730	CTRPV2	Targeted Therapy	An Mcl-1 inhibitor				
betulinic acid	small molecule	64971	CTRPV2	Targeted Therapy	Anti-HIV and antitumor compound,pentacyclic triterpenoid		approved	DB12480	beta-betulinic acid|ALS-357|NSC-113090
itraconazole	small molecule	55283	CTRPV2	Targeted Therapy	antifungal agent		approved	DB01167	
qs-11	small molecule	66890843	CTRPV2	Targeted Therapy	ARFGAP1 inhibitor,Wnt/beta-catenin pathway modulator				
etp-46464	small molecule	72199292	CTRPV2	Targeted Therapy	ATR inhibitor,potent and selective				
gdc-0879	small molecule	11717001	CTRPV2	Targeted Therapy	B-Raf inhibitor,potent and selective				
prima-1	small molecule	322968	CTRPV2	Targeted Therapy	BAX inhibitor				
tw-37	small molecule	11455910	CTRPV2	Targeted Therapy	Bcl-2 inhibitor, inhibits Bcl-2,Bcl-XL and Mcl-1				tw 37
ko-143	small molecule	10322450	CTRPV2	Targeted Therapy	BCRP inhibitor				
ly-2183240	small molecule	11507802	CTRPV2	Targeted Therapy	Blocker of anandamide uptake,highly potent		investigational	DB17035	1h-tetrazole-1-carboxamide, 5-((1,1'-biphenyl)-4-ylmethyl)-n,n-dimethyl-|5-(biphenyl-4-ylmethyl)-n,n-dimethyl-1h-tetrazole-1-carboxamide|LY-2183240
cay10594	small molecule	25105715	CTRPV2	Targeted Therapy	CAY10594 is an effective inhibitor of phospholipase D2 (PLD2) 				
nsc95397	small molecule	262093	CTRPV2	Targeted Therapy	Cdc25 dual specificity phosphatases inhibitor				
sns-032	small molecule	3025986	CTRPV2	Targeted Therapy	CDK inhibitor		investigational	DB05969	
nvp-231	small molecule	4096211	CTRPV2	Targeted Therapy	CerK inhibitor				
kpt185	small molecule	53495165	CTRPV2	Targeted Therapy	CRM1 inhibitor,selective and irrversible				
sb-225002	small molecule	3854666	CTRPV2	Targeted Therapy	CXCR2 antagonist, potent and selective				
darinaparsin	small molecule	11683005	CTRPV2	Targeted Therapy	decreases the tumor-initiating subpopulation in DU145 and PC3 cells and halts the cell cycle in the G2/M phase		investigational	DB06179	ZIO-101
wp1130	small molecule	11222830	CTRPV2	Targeted Therapy	Deubiquitinase (DUB) inhibitor, Cell permeable				
isoevodiamine	small molecule	151289	CTRPV2	Targeted Therapy	dietary supplement				
zebularine	small molecule	100016	CTRPV2	Targeted Therapy	DNA methylation inhibitor		experimental	DB03068	
rg-108	small molecule	702558	CTRPV2	Targeted Therapy	DNA methyltransferase inhibitor				
manumycin a	small molecule	6438330	CTRPV2	Targeted Therapy	farnesyltransferase inhibitor				
cerulenin	small molecule	5282054	CTRPV2	Targeted Therapy	fatty acid synthase (FAS) inhibitor		approved	DB01034	
bix-01294	small molecule	25150857	CTRPV2	Targeted Therapy	G9a and GLP inhibitor				
gant-61	small molecule	421610	CTRPV2	Targeted Therapy	GLI antagonist		investigational		
pdmp	small molecule	3129	CTRPV2	Targeted Therapy	glucosylceramide synthase inhibitor				
stf-31	small molecule	984333	CTRPV2	Targeted Therapy	GLUT1 and NAMPT inhibitor		experimental	DB16761	STF 31
tigecycline	small molecule	54686904	CTRPV2	Targeted Therapy	Glycylcycline antibiotic		approved	DB00560	tygacil
lovastatin	small molecule	53232	CTRPV2	Targeted Therapy	HMG-CoA reductase inhibitor		approved	DB00227	advicor|altoprev
simvastatin	small molecule	54454	CTRPV2	Targeted Therapy	HMG-CoA reductase inhibitor		approved	DB00641	
